Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
managereserve02,Edge Chromium 122,,,21-03-2024 05:01:26,21-03-2024 05:01:39,12.248s,PASSED
,,,,,,,
Test Cases/login01,Edge Chromium 122,,,21-03-2024 05:01:27,21-03-2024 05:01:34,7.700s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 05:01:27,21-03-2024 05:01:30,3.354s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 05:01:30,21-03-2024 05:01:31,0.608s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 05:01:31,21-03-2024 05:01:31,0.578s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), ""gege"")",Edge Chromium 122,,,21-03-2024 05:01:31,21-03-2024 05:01:32,0.931s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), ""tzH6RvlfSTg="")",Edge Chromium 122,,,21-03-2024 05:01:32,21-03-2024 05:01:33,0.328s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 05:01:33,21-03-2024 05:01:33,0.510s,PASSED
"verifyElementPresent(findTestObject(""h1_Reservations""), 1)",Edge Chromium 122,,,21-03-2024 05:01:33,21-03-2024 05:01:34,1.187s,PASSED
,,,,,,,
Test Cases/managereserve02,Edge Chromium 122,,,21-03-2024 05:01:34,21-03-2024 05:01:39,4.412s,PASSED
"click(findTestObject(""Object Repository/a_Add Reservation""))",Edge Chromium 122,,,21-03-2024 05:01:34,21-03-2024 05:01:35,0.304s,PASSED
"setText(findTestObject(""Object Repository/input_Date_date""), ""3250020240930am"")",Edge Chromium 122,,,21-03-2024 05:01:35,21-03-2024 05:01:36,0.997s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneMilano""), ""65e7e96a252eb9de416d5e0f"", true)",Edge Chromium 122,,,21-03-2024 05:01:36,21-03-2024 05:01:37,0.823s,PASSED
"selectOptionByValue(findTestObject(""select_Select OneOrder 1 - Capacity 1Order 2 - Capacity 2Order 3 - Capacity 3Order 4 - Capacity 4""), ""65ef4ddb5d4dbe4ab7d923d3"", true)",Edge Chromium 122,,,21-03-2024 05:01:37,21-03-2024 05:01:38,1.037s,PASSED
"click(findTestObject(""Object Repository/button_Create Reservation""))",Edge Chromium 122,,,21-03-2024 05:01:38,21-03-2024 05:01:38,0.507s,PASSED
"verifyElementPresent(findTestObject(""div_This hour is not available""), 1)",Edge Chromium 122,,,21-03-2024 05:01:38,21-03-2024 05:01:39,0.481s,PASSED
closeBrowser(),Edge Chromium 122,,,21-03-2024 05:01:39,21-03-2024 05:01:39,0.195s,PASSED
