Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
managereserve01,Edge Chromium 122,,,21-03-2024 14:19:14,21-03-2024 14:19:38,23.665s,FAILED
,,,,,,,
Test Cases/login/login01,Edge Chromium 122,,,21-03-2024 14:19:15,21-03-2024 14:19:22,7.518s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 14:19:15,21-03-2024 14:19:18,3.334s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 14:19:18,21-03-2024 14:19:19,0.622s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 14:19:19,21-03-2024 14:19:19,0.530s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), strUsername)",Edge Chromium 122,,,21-03-2024 14:19:19,21-03-2024 14:19:20,0.941s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), strPassword)",Edge Chromium 122,,,21-03-2024 14:19:20,21-03-2024 14:19:21,0.354s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 14:19:21,21-03-2024 14:19:21,0.581s,PASSED
"verifyElementPresent(findTestObject(""SeeIfloged""), 1)",Edge Chromium 122,,,21-03-2024 14:19:21,21-03-2024 14:19:22,0.854s,PASSED
,,,,,,,
Test Cases/managereserve/managereserve01,Edge Chromium 122,Prueba si se pueden crear nuevas reservas,,21-03-2024 14:19:22,21-03-2024 14:19:27,4.831s,PASSED
"click(findTestObject(""Object Repository/a_Add Reservation""))",Edge Chromium 122,,,21-03-2024 14:19:22,21-03-2024 14:19:22,0.336s,PASSED
"setText(findTestObject(""Object Repository/input_Date_date""), fecha)",Edge Chromium 122,,,21-03-2024 14:19:22,21-03-2024 14:19:23,0.997s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneMilano""), restaurante, true)",Edge Chromium 122,,,21-03-2024 14:19:23,21-03-2024 14:19:24,0.839s,PASSED
"selectOptionByValue(findTestObject(""select_Select OneOrder 1 - Capacity 1Order 2 - Capacity 2Order 3 - Capacity 3Order 4 - Capacity 4""), mesa, true)",Edge Chromium 122,,,21-03-2024 14:19:24,21-03-2024 14:19:25,1.027s,PASSED
"click(findTestObject(""Object Repository/button_Create Reservation""))",Edge Chromium 122,,,21-03-2024 14:19:25,21-03-2024 14:19:26,0.510s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/div_Reservation Created""), 1)",Edge Chromium 122,,,21-03-2024 14:19:26,21-03-2024 14:19:27,1.034s,PASSED
,,,,,,,
Test Cases/managereserve/managereserve01,Edge Chromium 122,Prueba si se pueden crear nuevas reservas,,21-03-2024 14:19:27,21-03-2024 14:19:31,4.535s,PASSED
"click(findTestObject(""Object Repository/a_Add Reservation""))",Edge Chromium 122,,,21-03-2024 14:19:27,21-03-2024 14:19:27,0.300s,PASSED
"setText(findTestObject(""Object Repository/input_Date_date""), fecha)",Edge Chromium 122,,,21-03-2024 14:19:27,21-03-2024 14:19:28,0.877s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneMilano""), restaurante, true)",Edge Chromium 122,,,21-03-2024 14:19:28,21-03-2024 14:19:29,0.776s,PASSED
"selectOptionByValue(findTestObject(""select_Select OneOrder 1 - Capacity 1Order 2 - Capacity 2Order 3 - Capacity 3Order 4 - Capacity 4""), mesa, true)",Edge Chromium 122,,,21-03-2024 14:19:29,21-03-2024 14:19:30,1.039s,PASSED
"click(findTestObject(""Object Repository/button_Create Reservation""))",Edge Chromium 122,,,21-03-2024 14:19:30,21-03-2024 14:19:30,0.503s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/div_Reservation Created""), 1)",Edge Chromium 122,,,21-03-2024 14:19:30,21-03-2024 14:19:31,1.026s,PASSED
,,,,,,,
Test Cases/managereserve/managereserve01,Edge Chromium 122,Prueba si se pueden crear nuevas reservas,,21-03-2024 14:19:31,21-03-2024 14:19:38,6.533s,FAILED
"click(findTestObject(""Object Repository/a_Add Reservation""))",Edge Chromium 122,,,21-03-2024 14:19:32,21-03-2024 14:19:32,0.621s,PASSED
"setText(findTestObject(""Object Repository/input_Date_date""), fecha)",Edge Chromium 122,,,21-03-2024 14:19:32,21-03-2024 14:19:33,1.082s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneMilano""), restaurante, true)",Edge Chromium 122,,,21-03-2024 14:19:33,21-03-2024 14:19:34,0.804s,PASSED
"selectOptionByValue(findTestObject(""select_Select OneOrder 1 - Capacity 1Order 2 - Capacity 2Order 3 - Capacity 3Order 4 - Capacity 4""), mesa, true)",Edge Chromium 122,,,21-03-2024 14:19:34,21-03-2024 14:19:35,1.044s,PASSED
"click(findTestObject(""Object Repository/button_Create Reservation""))",Edge Chromium 122,,,21-03-2024 14:19:35,21-03-2024 14:19:36,0.509s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/div_Reservation Created""), 1)",Edge Chromium 122,,,21-03-2024 14:19:36,21-03-2024 14:19:38,2.460s,FAILED
