Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
crear5usuarios,Edge Chromium 122,,,21-03-2024 12:26:57,21-03-2024 12:27:49,51.794s,PASSED
,,,,,,,
Test Cases/newuser/newuser01,Edge Chromium 122,Creacion de usuario,,21-03-2024 12:26:57,21-03-2024 12:27:09,11.299s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 12:26:58,21-03-2024 12:27:01,2.970s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 12:27:01,21-03-2024 12:27:01,0.644s,PASSED
"click(findTestObject(""Object Repository/a_Sign Up""))",Edge Chromium 122,,,21-03-2024 12:27:01,21-03-2024 12:27:02,0.501s,PASSED
"setText(findTestObject(""Object Repository/input_Name_name""), name)",Edge Chromium 122,,,21-03-2024 12:27:02,21-03-2024 12:27:03,0.912s,PASSED
"setText(findTestObject(""Object Repository/input_Last Name_lastName""), lastname)",Edge Chromium 122,,,21-03-2024 12:27:03,21-03-2024 12:27:03,0.547s,PASSED
"setText(findTestObject(""Object Repository/input_Phone_phone""), phone)",Edge Chromium 122,,,21-03-2024 12:27:03,21-03-2024 12:27:04,0.635s,PASSED
"setText(findTestObject(""Object Repository/input_Email_email""), email)",Edge Chromium 122,,,21-03-2024 12:27:04,21-03-2024 12:27:05,0.649s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), username)",Edge Chromium 122,,,21-03-2024 12:27:05,21-03-2024 12:27:05,0.592s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), password)",Edge Chromium 122,,,21-03-2024 12:27:05,21-03-2024 12:27:06,0.329s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Confirm Password_confirmPassword""), password)",Edge Chromium 122,,,21-03-2024 12:27:06,21-03-2024 12:27:06,0.525s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneUserRestaurant""), ""user"", true)",Edge Chromium 122,,,21-03-2024 12:27:06,21-03-2024 12:27:07,1.075s,PASSED
"click(findTestObject(""button_Create Acccount""))",Edge Chromium 122,,,21-03-2024 12:27:07,21-03-2024 12:27:07,0.303s,PASSED
"verifyElementPresent(findTestObject(""div_Your user is created""), 1)",Edge Chromium 122,,,21-03-2024 12:27:07,21-03-2024 12:27:09,1.156s,PASSED
closeBrowser(),Edge Chromium 122,,,21-03-2024 12:27:09,21-03-2024 12:27:09,0.205s,PASSED
,,,,,,,
