Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login,Edge Chromium 122,,,21-03-2024 14:54:24,21-03-2024 14:55:13,49.084s,PASSED
,,,,,,,
Test Cases/login/login01,Edge Chromium 122,,,21-03-2024 14:54:24,21-03-2024 14:54:32,7.824s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 14:54:24,21-03-2024 14:54:28,3.376s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 14:54:28,21-03-2024 14:54:28,0.668s,PASSED
"click(findTestObject(""Login/button_LOG IN""))",Edge Chromium 122,,,21-03-2024 14:54:28,21-03-2024 14:54:29,0.541s,PASSED
"setText(findTestObject(""Login/input_User Name_username""), strUsername)",Edge Chromium 122,,,21-03-2024 14:54:29,21-03-2024 14:54:30,0.959s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password_password""), strPassword)",Edge Chromium 122,,,21-03-2024 14:54:30,21-03-2024 14:54:30,0.358s,PASSED
"click(findTestObject(""Login/button_Log In (1)""))",Edge Chromium 122,,,21-03-2024 14:54:30,21-03-2024 14:54:31,0.559s,PASSED
"verifyElementPresent(findTestObject(""SeeIfloged""), 1)",Edge Chromium 122,,,21-03-2024 14:54:31,21-03-2024 14:54:32,1.115s,PASSED
,,,,,,,
Test Cases/login/login01,Edge Chromium 122,,,21-03-2024 14:54:32,21-03-2024 14:54:39,6.991s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 14:54:32,21-03-2024 14:54:35,2.875s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 14:54:35,21-03-2024 14:54:36,0.863s,PASSED
"click(findTestObject(""Login/button_LOG IN""))",Edge Chromium 122,,,21-03-2024 14:54:36,21-03-2024 14:54:36,0.553s,PASSED
"setText(findTestObject(""Login/input_User Name_username""), strUsername)",Edge Chromium 122,,,21-03-2024 14:54:36,21-03-2024 14:54:37,0.934s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password_password""), strPassword)",Edge Chromium 122,,,21-03-2024 14:54:37,21-03-2024 14:54:37,0.323s,PASSED
"click(findTestObject(""Login/button_Log In (1)""))",Edge Chromium 122,,,21-03-2024 14:54:37,21-03-2024 14:54:38,0.581s,PASSED
"verifyElementPresent(findTestObject(""SeeIfloged""), 1)",Edge Chromium 122,,,21-03-2024 14:54:38,21-03-2024 14:54:39,0.840s,PASSED
,,,,,,,
Test Cases/login/login01,Edge Chromium 122,,,21-03-2024 14:54:39,21-03-2024 14:54:45,6.663s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 14:54:39,21-03-2024 14:54:42,2.843s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 14:54:42,21-03-2024 14:54:42,0.663s,PASSED
"click(findTestObject(""Login/button_LOG IN""))",Edge Chromium 122,,,21-03-2024 14:54:42,21-03-2024 14:54:43,0.567s,PASSED
"setText(findTestObject(""Login/input_User Name_username""), strUsername)",Edge Chromium 122,,,21-03-2024 14:54:43,21-03-2024 14:54:44,0.912s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password_password""), strPassword)",Edge Chromium 122,,,21-03-2024 14:54:44,21-03-2024 14:54:44,0.312s,PASSED
"click(findTestObject(""Login/button_Log In (1)""))",Edge Chromium 122,,,21-03-2024 14:54:44,21-03-2024 14:54:45,0.505s,PASSED
"verifyElementPresent(findTestObject(""SeeIfloged""), 1)",Edge Chromium 122,,,21-03-2024 14:54:45,21-03-2024 14:54:45,0.844s,PASSED
,,,,,,,
