Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login,Edge Chromium 122,,,21-03-2024 11:57:05,21-03-2024 11:57:38,33.085s,PASSED
,,,,,,,
Test Cases/login/login01,Edge Chromium 122,,,21-03-2024 11:57:05,21-03-2024 11:57:13,7.792s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 11:57:05,21-03-2024 11:57:09,3.322s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 11:57:09,21-03-2024 11:57:09,0.614s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 11:57:09,21-03-2024 11:57:10,0.607s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), strUsername)",Edge Chromium 122,,,21-03-2024 11:57:10,21-03-2024 11:57:11,0.920s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), ""tzH6RvlfSTg="")",Edge Chromium 122,,,21-03-2024 11:57:11,21-03-2024 11:57:11,0.338s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 11:57:11,21-03-2024 11:57:12,0.553s,PASSED
"verifyElementPresent(findTestObject(""h1_Reservations""), 1)",Edge Chromium 122,,,21-03-2024 11:57:12,21-03-2024 11:57:13,1.196s,PASSED
,,,,,,,
Test Cases/login/login01,Edge Chromium 122,,,21-03-2024 11:57:13,21-03-2024 11:57:20,6.622s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 11:57:13,21-03-2024 11:57:16,2.808s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 11:57:16,21-03-2024 11:57:17,0.655s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 11:57:17,21-03-2024 11:57:17,0.549s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), strUsername)",Edge Chromium 122,,,21-03-2024 11:57:17,21-03-2024 11:57:18,0.905s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), ""tzH6RvlfSTg="")",Edge Chromium 122,,,21-03-2024 11:57:18,21-03-2024 11:57:18,0.308s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 11:57:18,21-03-2024 11:57:19,0.563s,PASSED
"verifyElementPresent(findTestObject(""h1_Reservations""), 1)",Edge Chromium 122,,,21-03-2024 11:57:19,21-03-2024 11:57:20,0.815s,PASSED
,,,,,,,
Test Cases/login/login01,Edge Chromium 122,,,21-03-2024 11:57:20,21-03-2024 11:57:26,6.218s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 11:57:20,21-03-2024 11:57:23,2.809s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 11:57:23,21-03-2024 11:57:23,0.601s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 11:57:23,21-03-2024 11:57:24,0.520s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), strUsername)",Edge Chromium 122,,,21-03-2024 11:57:24,21-03-2024 11:57:25,0.920s,PASSED
